otu,otu_occ,otu_rel,fill,Community
196c5cfa4dc50b44d41aa0758e281103c5bdd5e2,0.972497249724973,0.0509982462578773,core,Confirmed Core
33a7c420c14161e0f1cb9a7e4b8efc2111579f26,0.444444444444444,0.0108125106039643,no,Confirmed Rare
b6b4bfb3e5c676bab8c4fe5064cda0f999f888cf,0.928492849284928,0.0215275371432164,core,Core Candidate
2ffa94059b4bc95a86617b3fc5c5f84adba070b9,0.924092409240924,0.0230962747814732,core,Core Candidate
182e4eedcba3f2ca5698c4428f214232f98b5086,0.658965896589659,0.00912717135580539,core,Core Candidate
cc8cf9a95e2d3794c998c17c34950f07035bdde1,0.506050605060506,0.00757153105229403,core,Core Candidate
9b1b2ab69fdd9831bc9156a0bcf3b0b3c8069f75,0.738173817381738,0.00449145024370429,core,Core Candidate
af98921b493352e55288c58ae7d915ae9c236e2c,0.376237623762376,0.00678388986711181,no,Confirmed Rare
0dcdc7b50538b53863ac760ed874746f79b80091,0.603960396039604,0.00623295294335572,core,Core Candidate
947658330efdeea6f3b1288a030163766e6afc8a,0.812981298129813,0.00549602840124627,core,Core Candidate
a10cd8e28b1c571d5ebada8d10f11dab555cb101,0.107810781078108,0.00278887022533729,no,Confirmed Rare
cdd89b9f54372c3c91b65195e2af8d1db4f64e10,0.344334433443344,0.00341189103505125,no,Confirmed Rare
ebee5b5217defb1f4b126f0f9bdb5a9293ed6db8,0.893289328932893,0.00676871083886657,core,Core Candidate
61c37227ef715ad97006c2f98eeeec27cdd60de4,0.924092409240924,0.00708559954618053,core,Core Candidate
3f8c56658fb97f15c2e2fdc12f7abcda395840a1,0.360836083608361,0.00229025802081542,no,Confirmed Rare
30f4da9b776a0f727b388c7b4eca502087cfc887,0.434543454345435,0.00276727049690109,no,Confirmed Rare
6263d2de888216e2ccb06dadb2eedafe1853eaeb,0.962596259625963,0.00834114632102448,core,Confirmed Core
007f10b54c2f37e7a30f9c92f7578f9646262699,0.243124312431243,0.00254310944529939,no,Confirmed Rare
7043c33d20fcae3fe26d9ce4b0c125e265e1abd0,0.972497249724973,0.00875290303895098,core,Confirmed Core
4f190cf450981b64ba53ba4c2b2db85de31137bf,0.936193619361936,0.00337966446288683,core,Core Candidate
cf710fd30d57f36d0639c05baad8762fa2f850d8,0.662266226622662,0.00294741548088334,core,Core Candidate
aa4d9df4f7c989851c9e41d2883fb48319b6f95d,0.932893289328933,0.00743484472174625,core,Core Candidate
0f7a4414eab0169289ce230457cadcdeac7d85be,0.605060506050605,0.0027940390623452,core,Core Candidate
60bf2ab09eec9fc137dbfb67d3f8947d1b8008a2,0.413641364136414,0.0023691905268987,no,Confirmed Rare
7d358caab614588e5508e6b60a39608d14a6b68f,0.399339933993399,0.00162342721936515,no,Confirmed Rare
b26dd3f4d283e13ff8c6927431b76d10690bc3a1,0.715071507150715,0.0030504300140247,core,Core Candidate
a2a945f8d4f6fe70f07e0f737b26bb0ba1edda81,0.255225522552255,0.00382681773254632,no,Confirmed Rare
80fb97ef14280b169c86455c651682d0369b80e2,0.939493949394939,0.0018556463675157,core,Core Candidate
db46237076b6a7aed369a252aa16081b0e5fee83,0.711771177117712,0.00438103927207568,core,Core Candidate
41ca11f9841dae697069f726f844552d73e4ada1,0.939493949394939,0.00649200653250826,core,Core Candidate
87e9dfc2b6eb80e78088cac5908b5e7da491cf10,0.473047304730473,0.00389735710673266,no,Confirmed Rare
16cf9faa7c62d98c7f5bcc5bdb3cf2ba1122f8dd,0.904290429042904,0.00186226216065157,core,Core Candidate
3b588ad59ca5e93709fbef11a228fee6478e9718,0.873487348734873,0.00306772966291471,core,Core Candidate
ca141156c77afc156685d275503b5e241de75c80,0.572057205720572,0.00178580026993408,core,Core Candidate
21c3dfa8402e89293afc06463be719d8b1612965,0.316831683168317,0.00191239474880642,no,Confirmed Rare
bf0a822d2b30159194267a5f2ade0d5391937c82,0.735973597359736,0.00232739273917416,core,Core Candidate
c51019e0964b452bf579fbc36454a5e8ec87459f,0.282728272827283,0.00195185582606913,no,Confirmed Rare
e6aa12974247b6ec7fae3e25aeffa1d7bd744ec2,0.99009900990099,0.00377972707932341,core,Confirmed Core
af60423dfce0f8252a7668e62e7f589bbc3b8c6c,0.152915291529153,0.00125520078188526,no,Confirmed Rare
